PDI|2025-04-11|465.00|2164.50|2629.50
PDI|2025-03-13|720.00|439.50|1159.50
PDI|2025-02-13|1217.40|199.50|1416.90
PDI|2025-01-13|370.00|86.90|456.90
PDI|2024-12-12|610.00|639.50|1249.50
PDI|2024-11-12|630.00|889.50|1519.50
PDI|2024-10-11|1660.00|1449.50|3109.50
PDI|2024-09-13|800.00|-0.50|799.50
PDI|2024-08-12|279.90|229.40|509.30
PDI|2024-07-11|640.00|89.50|729.50
PDI|2024-06-13|460.00|699.50|1159.50
PDI|2024-05-10|1140.00|289.50|1429.50
PDI|2024-04-10|860.00|1219.50|2079.50
PDI|2024-03-08|690.00|239.50|929.50
PDI|2024-02-09|1240.00|699.50|1939.50
PDI|2024-01-11|1640.00|219.50|1859.50
PDI|2023-12-08|1495.00|864.50|2359.50
PDI|2023-11-10|2350.00|929.50|3279.50
PDI|2023-10-11|-35.00|1574.50|1539.50
PDI|2023-09-08|-160.00|739.50|579.50
PDI|2023-08-10|935.00|829.50|1764.50
PDI|2023-07-12|1210.00|494.50|1704.50
PDI|2023-06-09|834.80|424.30|1259.10
PDI|2023-05-10|1120.00|469.50|1589.50
PDI|2023-04-12|380.00|699.50|1079.50
PDI|2023-03-10|-420.00|1629.50|1209.50
PDI|2023-02-10|1650.00|619.50|2269.50
PDI|2023-01-12|640.00|339.50|979.50
PDI|2022-12-09|1040.00|959.50|1999.50
PDI|2022-11-10|1510.00|459.50|1969.50
PDI|2022-10-12|597.90|1937.40|2535.30
PDI|2022-09-09|130.00|1539.50|1669.50
PDI|2022-08-10|2367.00|206.50|2573.50
PDI|2022-07-08|1830.00|1259.50|3089.50
PDI|2022-06-10|1860.00|3129.50|4989.50
PDI|2022-05-11|480.00|1889.50|2369.50
PDI|2022-04-08|2780.00|1529.50|4309.50
PDI|2022-03-10|980.00|2929.50|3909.50
PDI|2022-02-10|718.40|1577.90|2296.30
PDI|2022-01-12|1830.00|1569.50|3399.50
